bare	accented	translations_en	translations_de
недоуменно	недоуме'нно		erstaunt, verlegen, bestürzt
неудивительно	неудиви'тельно	not surprisingly	nicht erstaunlich, nicht überraschend
по-французски	по-францу'зски		französisch, └ in / auf┘ Französisch
как-никак	как-ника'к	after all	einigermassen
безжалостно	безжа'лостно	merciless	erbarmungslos, unbarmherzig
когда-либо	когда'-либо	ever, some time, some day	jemals, je; irgendwann
невыносимо	невыноси'мо	unbearably, unsufferably	unerträglich
почтительно	почти'тельно		ehrerbietig, respektvoll
сосредоточенно	сосредото'ченно	with concentration	konzentriert, gesammelt, aufmerksam
ну-ну	ну-ну'	well-well, there-there	Ja ja
по-немецки	по-неме'цки		deutsch, Deutsch, auf Deutsch, in Deutsch
принято	при'нято	it is accepted, it is usual	üblich, gebräuchlich
многозначительно	многозначи'тельно	significantly, with meaning	bedeutungsvoll, vielsagend
просто-напросто	про'сто-на'просто	simply	einfach, ganz einfach, schlicht und einfach, schlichtweg
слышь	слышь	say	horch, pass mal auf, hör mal; wohl, wahrscheinlich
удовлетворённо	удовлетворённо	with satisfaction	zufrieden, erfüllt, befriedigt
целесообразно	целесообра'зно		zweckmäßig, zweckdienlich, zweckentsprechend, sinnvoll, zielgerecht, adäquat, zielführend
безошибочно	безоши'бочно		fehlerfrei
инстинктивно	инстинкти'вно		instinktiv, instinktmäßig, intuitiv, unwillkürlich, unterbewusst, unbewusst
неслышно	неслы'шно		unhörbar, lautlos, geräuschlos, kaum vernehmlich / vernehmbar
невозмутимо	невозмути'мо		unbewegt, ungerührt, dickfellig; gelassen, unerschütterlich, gefasst, unbeeindruckt
по-детски	по-де'тски		kindlich, auf kindliche Art
щас	щас	right now	jetzt, sofort, augenblicklich
верхом	верхо'м	astride, on horseback, to the brim, brim-full	zu Pferd
неопределенно	неопределенно		unbestimmt; ungewiss, vage
нибудь	нибудь		irgend, „... auch immer“, „... es auch sei“
материально-технический	материа'льно-техни'ческий		materielltechnisch
первоочередной	первоочередно'й	first and foremost, immediate	vordringlich, vorrangig, der allerwichtigste
по-хорошему	по-хоро'шему		gütlich
укоризненно	укори'зненно		vorwurfsvoll
выразительно	вырази'тельно		ausdrucksvoll, vielsagend, bedeutungsvoll
еле-еле	е'ле-е'ле	hardly, barely	mit knapper Not
более-менее	более-менее	more or less	mehr oder weniger
кое	кое		wo, was, welcher
общественно-политический	обще'ственно-полити'ческий	social and political	gesellschaftlich-politisch, gesellschaftspolitisch
угрожающе	угрожа'юще	threateningly, menacingly	drohend, bedrohlich
криво	кри'во	crookedly, awry	schief, krumm
неведомо	неве'домо		unbekannt
ха-ха	ха-ха'		haha
шо	шо		das; was
всего-навсего	всего'-на'всего		nur, gerade mal, bloß, alles in allem
возмущенно	возмущенно		empört
мечтательно	мечта'тельно		träumerisch, schwärmerisch
по-иному	по-ино'му	differently, in a different way	anders, auf andere Art und Weise, anderer Zugang
дак	дак		eben, doch, genau
нерешительно	нереши'тельно	irresolute	unentschlossen, unschlüssig, unsicher
уважительно	уважи'тельно		zu respektieren, anzuerkennen, stichhaltig, einleuchtend, wichtig, triftig, plausibel; achtungsvoll, höflich, ehrfürchtig, wertschätzend; vertrauensvoll; zu respektieren, anzuerkennen, stichhaltig, einleuchtend, wichtig, triftig, plausibel
аналогично	аналоги'чно		analog, gleichartig, ähnlich
иронически	ирони'чески		ironisch (bei Fachtermini)
кардинально	кардина'льно		kardinal, einschneidend
непроизвольно	непроизво'льно		unwillkürlich
благодарно	благода'рно		dankbar
порой	поро'й	at times, now and then	manchmal, bisweilen, hin und wieder
эмоционально	эмоциона'льно		emotional
возбужденно	возбужденно		aufgeregt, erregt
доверительно	довери'тельно		vertraulich, vertrauensvoll, innig
положено	поло'жено		ausgemacht, angebracht, vereinbart, zustehend
прямиком	прямико'м	straight	schnurstracks
пуще	пу'ще		grösser, mehr, stärker, schlimmer
непривычно	непривы'чно		ungewohnt, ungewöhnlich
раньше	ра'ньше	before	früher, eher, vor, vorher, einst, ehemals
свято	свя'то	piously	heilig, hoch und heilig
чего-то	чего'-то	something	etwas
бойко	бо'йко	smartly	lebhaft, flink, fix, gewandt, findig, belebt, rege
восхищенно	восхищенно		begeistert
сокрушенно	сокрушенно		vernichtet, am Boden zerstört
браво	бра'во	bravo	wacker, martialisch
вдохновенно	вдохнове'нно	inspiredly, with enthusiasm, enthusiastically	begeistert
да-а	да-а		ja, tja
дружелюбно	дружелю'бно		freundlich
подсознательно	подсозна'тельно		unterbewusst; unterschwellig
несправедливо	несправедли'во		ungerecht, ungerechterweise
сколько-то	ско'лько-то		soundso viel
битком	битко'м		vollgekracht, bis obenhin vollgestopft, bis zum Bersten gefüllt
мало-помалу	ма'ло-пома'лу	little by little, bit by bit, gradually, by slow degrees	nach und nach, allmählich
мигом	ми'гом	in a flash, in a jiffy	im Nu
член-корреспондент	чле'н-корреспонде'нт	corresponding member, Corresponding Member	korrespondierendes Mitglied
безропотно	безро'потно	without a murmur	ohne zu murren
бен	бен		Eigenname
бесцеремонно	бесцеремо'нно	without ceremony, in a free and easy manner, with undue familiarity	rücksichtslos, ungeniert, dreist
катастрофически	катастрофи'чески		katastrophal
неумолимо	неумоли'мо		unerbittlich
по-нашему	по-на'шему	as we think, in, according to, our opinion, to our way of thinking, as we would wish, as we would have it, as we advise, according to our custom	unserer Meinung nach; wie wir es für richtig halten, wie wir es wollen
трогательно	тро'гательно	it is touching, touchingly, movingly, pathetically	rührend, bewegend
здравствуйте	здра'вствуйте	hello	Hallo (formell), Guten Tag
опасливо	опа'сливо		vorsichtig, misstrauisch, zögerlich, zaghaft, furchtsam, schreckhaft
увлечённо	увлечённо	with enthusiasm, with animation	leidenschaftlich, interessiert, hingerissen, hingebungsvoll
хо	хо		hoho
буль-буль	буль-буль		gluck gluck
допустим	допу'стим	let us assume	angenommen
м	м		Milli-; m (Meter); m, hm, mh
непринуждённо	непринуждённо	without embarrassment, unconstrainedly	ungezwungen, zwanglos
потому-то	потому'-то		eben deswegen
счас	счас		jetzt
не-ет	не-ет		nein nein
неизмеримо	неизмери'мо	immeasurably	unvergleichlich, deutlich, bedeutend, um ein Vielfaches
ок	ок		okay
разочарованно	разочаро'ванно	with disappointment, disappointedly	enttäuscht
агропромышленный	агропромы'шленный	agroindustrial	Agrarindustrie-
мало-мальски	ма'ло-ма'льски	in the slightest degree, to the slightest extent	einigermaßen
неистово	неи'стово	furiously, violently	rasend, wütend, ungestüm
неразрывно	неразры'вно		untrennbar
по-моему	по-мо'ему	in my opinon	meines Erachtens, meiner Meinung nach
по-вашему	по-ва'шему	in your opinion, as you would have it	so, wie ihr es wünscht, wie Sie es wünschen
столько-то	сто'лько-то		soundso oft
целенаправленно	целенапра'вленно		fokussiert, zielstrebig, gezielt, zielgerichtet
вэ	вэ		w (Benennung des lateinischen Buchstabens)
довольно-таки	дово'льно-таки'	quite, somewhat	ziemlich, immerhin
здрасте	здра'сте	Short form of здравствуйте	Abkürzung здравствуйте
зловеще	злове'ще		unheilschwer, unheilverkündend
незначительно	незначи'тельно		unbedeutend, geringfügig, unwesentlich, gering
там-то	та'м-то		eben da, irgendwo dort, an diesem Platz
в-четвёртых	в-четвёртых	fourthly, in the fourth place	viertens
далеко-далеко	далеко'-далеко'		ganz weit (entfernt / weg)
законодательно	законода'тельно		gesetzgebend, Gesetzgebunds-
имхо	имхо'		IMHO
о-о	о-о'		oh je, ach je, au weia
совестно	со'вестно		peinlich, unangenehm, wofür man sich schämen muss
торжествующе	торжеству'юще		triumphierend, feiernd, siegreich
динамично	динами'чно		dynamisch
какой-никакой	како'й-никако'й		egal was für ein, Hauptsache dass überhaupt ein
навалом	нава'лом	in bulk, a lot of	haufenweise, einfach so hingehauen, in grossen Haufen
положим	поло'жим	let us assume	angenommen, meinetwegen
порядком	поря'дком	pretty, rather, a good deal, properly, thoroughly	ziemlich, ordentlich, tüchtig, recht
по-старому	по-ста'рому	as before, as of old	beim alten, wie früher, wie bisher
самозабвенно	самозабве'нно		selbstvergessen, selbstlos
беспрестанно	беспреста'нно	continually, incessantly	unaufhörlich
вкрадчиво	вкра'дчиво	insinuatingly, ingratiatingly	einschmeichelnd
давай-ка	давай-ка		na nun mal los, lass uns doch; reich mal
недвусмысленно	недвусмы'сленно		unzweideutig
предусмотрительно	предусмотри'тельно		umsichtig, vorsichtig, bedacht, vorsorglich, achtsam
пренебрежительно	пренебрежи'тельно		geringschätzig, verächtlich, nachlässig
проникновенно	проникнове'нно		innig, eindringlich, erfüllt von, durchdrungen, durch und durch; anrührend, berührend, zu Herzen gehend, gefühlvoll
суетливо	суетли'во		geschäftig, hastig, hecktisch
безмятежно	безмяте'жно	serenely, quietly	ruhig, friedlich, sorglos
безнаказанно	безнака'занно	with impunity	ungestraft, straflos
бесстрашно	бесстра'шно		furchtlos, unerschrocken, kühn
доброжелательно	доброжела'тельно		wohlwollend
легкомысленно	легкомы'сленно	lightly, thoughtlessly, flippantly	leichtsinnig
оглушительно	оглуши'тельно		betäubend, dröhnend
по-хозяйски	по-хозя'йски	thriftily, wisely	sparsam, bedacht, umsichtig; rational, sachlich; herrenhaft
умоляюще	умоля'юще		bittend, flehend, beschwörend
философски	филосо'фски	philosophically	philosophisch
чей-нибудь	че'й-нибудь		jemandes
агрессивно	агресси'вно		aggressiv
взад-вперед	взад-вперед		hin und her, auf und ab, vor und zurück
гармонично	гармони'чно		harmonisch, wohlklingend
досадливо	доса'дливо		verärgert, verdrießlich
катин	катин		Katin (Herr K.); Katjas, Katja gehörend
кокетливо	коке'тливо		kokett
красноречиво	красноречи'во		beredt, redegewandt, ausdrucksvoll
неправдоподобно	неправдоподо'бно		unwahrscheinlich
очень-очень	о'чень-очень		ganz sehr, sehr sehr
прям	прям		gerade, direkt
свойственно	сво'йственно		eigen, innewohnend, kennzeichnend, bezeichnend
требовательно	тре'бовательно		fordernd, anspruchsvoll
великодушно	великоду'шно	it shows generosity, magnanimously, generously	großmütig, hochherzig
долго-долго	долго-до'лго		ganz lange
м-да	м-да		na dann, also, ähem, tja
неотступно	неотсту'пно		ständig, beständig, unablässig, aufdringlich, zudringlich, unbarmherzig
неуловимо	неулови'мо		unmerklich, unsichtbar, unhörbar
быстро-быстро	быстро-быстро		ganz schnell
волей-неволей	во'лей-нево'лей	willy-nilly, like it or not	wohl oder über (ob man will oder nicht)
госслужащий	госслу'жащий	public servant	Staatsdiener
идеологически	идеологи'чески		ideologisch
истово	и'стово		wahr, echt, einzig; eifrig, inbrünstig
миролюбиво	миролюби'во		friedfertig
неотвратимо	неотврати'мо		unabwendbar, unausweichlich, unvermeidlich
неприязненно	неприя'зненно		feindselig, feindlich; missgünstig, übelwollend, ablehnend, hasserfüllt
особняком	особняко'м	by oneself	für sich, allein, abgesondert
по-домашнему	по-дома'шнему	simply, without ceremony	häuslich, wie zu Hause, nach Hausfrauenart
празднично	пра'зднично	festively	festlich, feierlich, als Gala; auf einen └ Festtag / Feiertag┘ bezogen, feiertäglich
причудливо	причу'дливо		wunderlich
што	што		ugs.:  was (что)
язвительно	язви'тельно		höhnisch, gehässig, giftig, verletzend, ätzend
беспорядочно	беспоря'дочно	in confusion, in disorder, higgledy-piggledy	unordentlich, liederlich, chaotisch, durcheinander
бесстрастно	бесстра'стно		nüchtern, kühl, berechnend, rationell, gefühlskalt, leidenschaftslos, abgebrüht
все-все	все-все'		aber auch wirklich alle
ла	ла		la (Notenwert); la (als Namensbestandteil bzw. Artikel)
много-много	мно'го-мно'го	at most	wenn es hoch kommt, höchstens; ganz viel
озадаченно	озада'ченно		bestürzt, verblüfft; verlegen, betreten, ratlos
по-доброму	по-до'брому		im Guten
придирчиво	приди'рчиво		nörglerisch, mäklerisch; übergenau, pingelig
примирительно	примири'тельно		versö'hnlich
услужливо	услу'жливо	helpfully, obligingly	dienstbeflissen, servil, zuvorkommend, bemüht
ну-с	ну-с		na; also
дез	дез		Ent-, De-
аккурат	аккура'т	exactly, precisely	genau
самовольно	самовольно		eigenwillig; eigenmächtig, selbstherrlich; unbändig; auf eigene Faust
ходуном	ходуно'м		drunter und rüber, auf und ab
авансом	ава'нсом	in advance	als Vorschuß
авиабомба	авиабомба	aircraft bomb	Fliegerbombe
авиапочтой	авиапо'чтой	air mail	per Luftpost
авторалли	авторалли	motor rally	Autorallye
адски	а'дски	infernally, frightfully, terribly, awfully	höllisch, infernalisch
амба	амба	kaput	das Ende vom Lied
анданте	анда'нте	andante	andante
апостериори	апостерио'ри	a posteriori	a posteriori, nachträglich, später
априори	априо'ри	a priori	a priori, von vornherein
архилгун	архилгун	archliar	n/a
баба-яга	ба'ба-яга	Baba-Yaga	Hexe, hässliches └ zänkisches / bösartiges / boshaftes┘ Weibsbild; Hexe Baba-Jaga (im russischen Märchen)
бай-бай	бай-ба'й	bye-bye	Tschüs
бакенбарды	бакенба'рды	whiskers, sidewhiskers	Siehe: бакенб'рда; Backenbart
баттерфляй	баттерфляй	butterfly stroke	Schmetterlingsstil
баю-бай	баю-бай	lullaby	heia, dei-dei (Schlafaufforderung an Kleinkind)
безалаберно	безала'берно	in a disorderly manner, carelessly	schlampig, liederlich, nachlässig, chaotisch
безбедно	безбедно	comfortably	wohlhabend, sorglos, in Wohlstand
безвременно	безвре'менно	prematurely	frühzeitig, vorzeitig, viel zu früh erfolgt
безвыездно	безвы'ездно	without quitting, without break	wohlhabend, sorglos, in Wohlstand
безвыходно	безвыходно	without going out	ausweglos, aussichtslos, hoffnungslos
безгранично	безграни'чно	infinitele	grenzenlos, unbegrenzt
беззаветно	беззаве'тно	selflessly, devotedly, whole-heartedly	selbstlos, hingebungsvoll, grenzenlos
безобидно	безоби'дно	inoffensively	harmlos
безответственно	безотве'тственно	irresponsibly	verantwortungslos, unverantwortlich; frivol
безотказно	безотказно	smoothly, without a hitch	ohne Widerrede, störungsfrei, einwandfrei
безотлагательно	безотлага'тельно	urgently, without delay	eilig, dringend
безотлучно	безотлу'чно	absenting oneself for an instant, without going away for an instant	ständig (anwesend), beständig, unaufhörlich; unzertrennlich
безотносительно	безотноси'тельно	irrelative	unspezifisch
безрассудно	безрассу'дно	rashly, recklessly	unvernünftig, unbesonnen
безудержно	безудержно	without restraint, unrestrainedly, impetuously	zügellos, haltlos, ungestüm, ausschweifend, unaufhaltsam
бенефис	бенефи'с	benefit performance	Benefizvorstellung
беременная	бере'менная	pregnant	die Schwangere; schwanger, trächtig (bei Tieren)
бесконтрольно	бесконтро'льно	uncontrolledly, without any control	unkontrolliert
бесперебойно	бесперебо'йно	without interruption, regularly	ununterbrochen, reibungslos, regelmäßig
бесплодно	беспло'дно	in vain, vainly, unavailingly	unfruchtbar, fruchtlos, erfolglos, vergeblich
бесподобно	бесподо'бно	it is excellent, excellently, splendidly	unvergleichlich
беспорядки	беспорядки	disturbance	Unruhen
беспошлинно	беспо'шлинно	free of duty, duty-free	zollfrei
беспременно	беспреме'нно	without fail, certainly	zweifellos, sicherlich, unbedingt
беспристрастно	беспристра'стно	impartially, without bias	leidenschaftslos
беспричинно	беспричинно	without cause, without motive, for no reason	grundlos, unbegründet, aus heiterem Himmel
беспробудно	беспробу'дно	without waking, heavily	ungezügelt, hemmungslos, maßlos
бессменно	бессме'нно	at a stretch, continuously, on end	ungezügelt, hemmungslos, maßlos
бессовестно	бессовестно	it shows lack of scruple, unscrupulously, without scruple	gewissenlos, ehrlos, unverschämt, frech
благовоспитанно	благовоспи'танно	politely courteously	wohl erzogen, anständig, ordentlich
ближе	ближе	nearer, closer, more intimate	näher
богаче	богаче	richer	reicher
боком	бо'ком	sideways	seitwärts, schräg
бочком	бочко'м	sideways, sidewise	seitlich, seitwärts
брутто	бру'тто	gross	brutto; Brutto
бултых	бултых	plop	Plumps! Platsch!
буржуазно-демократический	буржуазно-демократический	bourgeois-democratic	bürgerlich-demokratisch
театр-буфф	театр-буфф	comedy	
бухарка	бухарка	Bokharan	-
быстродействующий	быстродействующий	fast-acting	schnell wirkend; ultraschnell
вагоновожатый	вагоновожатый	tram-driver	Straßenbahnfahrer
ввек	ввек	never	niemals
ввечеру	ввечеру'	in the evening	abends, gegen Abend
ввосьмеро	вво'сьмеро	eight times	acht Mal so viel, achtfach
ввосьмером	ввосьмеро'м	eight	zu acht, zu achten
вгорячах	вгоряча'х	in the heat of the moment	im ersten Impuls, impulsiv, im Eifer, unbedacht, unüberlegt
вдевятеро	вде'вятеро	nine times	neun mal so viel, neunfach
вдевятером	вдевятеро'м	nine	zu neunt, zu neunen
вдесятеро	вде'сятеро	ten times	zehnmal so viel, zehnfach
вдесятером	вдесятеро'м	ten	zu zehnt, zu zehnen
весной	весно'й	in spring	im Frühling, im Frühjahr
весною	весно'ю	in spring	im Frühjahr
вечерело	вечерело	night was falling	siehe вечереть
вечерком	вечерко'м	in the evening	abends
вечером	ве'чером	in the evening	abends, am Abend
вечор	вечо'р	last night, yesternight	gestern Abend
видеотелефон	видеотелефон	videotelephone	Bildtelefon, Fernsehtelefon
видеотелефонный	видеотелефо'нный	videotelephone	Bildtelefon-
видимо-невидимо	видимо-невидимо	multitudes, huge numbers, in immense quantity	in rauen Mengen
визуально	визуа'льно	by sight; visually	visuell
виндсерфинг	виндсерфинг	wind-surfing	Brettsegeln, Windsurfing
винтом	винтом	spirally	siehe винт
вихрем	вихрем	like the wind	in Windeseile
вкруговую	вкругову'ю	round	ringsherum, rundherum
влюблённо	влюблённо	lovingly, amorously	verliebt
внове	вно'ве	new, strange	wieder, erneut
вовеки	вове'ки	for ever, never	ewig; nie
водонепроницаемый	водонепроницаемый	watertight, waterproof	wasserdicht, wasserundurchlässig
возмутительно	возмутительно	it is a scandal, it is scandalous, scandalously, outrageously	empörend
волхвы	волхвы	the Magi, the Three Wise Men	siehe волхв
воровски	воровски'	thievishly, in an underhand way	auf einen Dieb bezogen, verbrecherisch
ворчливо	ворчли'во	peevishly, querulously	brummig
восемью	восемью	eight times	8 x (in Multiplikationsaufgaben), achtmal, acht Mal; Instrumental von восемь
восьмичасовой	восьмичасовой	of eight hours, eight-hour	Achtuhr-
вотще	вотще'	in vain	vergebens
вполнакала	вполнака'ла	dimly, half-heartedly	mit halber Kraft, auf Sparflamme
впопад	впопа'д	apropos	genau richtig, zur richtigen Zeit
впритирку	вприти'рку	very tightly	ganz dicht, aneinandergepresst, hautnah
впросонках	впросо'нках	still half asleep, only half awake	im Halbschlaf, im Dämmerzustand
впятеро	впятеро	five times	fünffach
в-пятых	в-пятых	fifthly, in the fifth place	fünftens
враждебно	вражде'бно	hostilely, with enmity, with animosity	feindlich, feindselig
вразбивку	вразби'вку	at random, at haphazard	durcheinander, wie es gerade kommt
вразброд	вразбро'д	separately, disunitedly, in disunity	ungeordnet, unabgestimmt, verstreut
вразброс	вразбро'с	separately	kreuz und quer, mal hier und mal da
врастяжку	врастя'жку	at full length	der Länge nach, ausgestreckt
временами	времена'ми	at times, now and then, now and again, from time to time	manchmal
врукопашную	врукопа'шную	hand to hand	im Handgemenge
всемерно	всеме'рно	to the utmost, in every possible way, in every way possible	mit allen Mitteln, auf jede Weise, nach Kräften
всемеро	все'меро	seven times, sevenfold	sieben Mal so viel, siebenfach
всемером	всемеро'м	seven	zu siebent
всплошную	всплошну'ю	in a solid mass	dicht an dicht, lückenlos, durchgehend
встарь	встарь	in olden times, formerly, in olden days, of old	in grauer Vorzeit
всуе	всу'е	in vain	vergebens, unnütz, sinnlos; ohne Wert
всухую	всуху'ю	without scoring a point	trocken, punktlos, ohne Tor
втёмную	втёмную	blindly, in the dark	illegal, kriminell; blind, ohne etwas gesehen zu haben
втридорога	втри'дорога	triple the price	wahnsinnig teuer, total überteuert
втройне	втройне	three times as much	dreimal, dreifach
вчерне	вчерне'	in the rough	im Entwurf, im unreinen
ВЧК	ВЧК	All-Russian Special Commission for Combating Counter-revolution and Sabotage	Abkürzung (zB für Всероссийская Чрезвычайная Комиссия)
вчуже	вчуже	as an outsider	unbekannterweise, aus der Sicht eines nicht unmittelbar Betroffenen
вшестеро	вше'стеро	six times, sixfold	sechs Mal so viel, sechsfach
вшестером	вшестеро'м	six	zu sechst, zu sechsen
въявь	въявь	in reality	wach, in Wirklichkeit
выдуманный	выдуманный	made-up, concocted, fabricated, invented	fiktiv, erfunden
выпукло	вы'пукло	in relief, vividly, graphically	gewölbt
высокопарно	высокопа'рно	grandiloquently, bombastically, in a high-flown manner	hochtrabend, schwülstig
вычурно	вы'чурно	pretentiously, artificially, in a bizarre manner	geziert, gekünstelt
галопом	гало'пом	at a gallop	im Galopp
гантели	гантели	dumb-bells	Hanteln
где-либо	где'-либо	somewhere, anywhere	irgendwo
герметически	гермети'чески	hermetically	hermetisch, dicht
гермоперчатки	гермоперча'тки	pressurized gloves	
завод-гигант	завод-гигант	giant factory	Riesenwerk
гидрографический	гидрографи'ческий	hydrographic	└ hydrografisch/hydrographisch┘, └ Hydrografie-/Hydrographie-┘
гипосульфит	гипосульфит	hyposulphite, hypo	das Fixiersalz
гипотермия	гипотермия	hypothermia	die Unterkühlung
гласно	гласно	publicly, openly	offenbar, offenkundig; öffentlich, in aller Öffentlichkeit; laut; lautend
глиссандо	глисса'ндо	glissando	das Glissando; glissando
глубокомысленно	глубокомысленно	thoughtfully, with a thoughtful air, with a wise air, looking wise	tiefsinnig
гнусаво	гнуса'во	nasally, with a nasal twang, through the nose	nasal
годами	года'ми	for years, for years on end	jahrelang
голословно	голосло'вно	without adducing any proof	unbegründet
голышом	голышо'м	stark naked	голышо'м
горделиво	гордели'во	haughtily, proudly	hochmütig, dünkelhaft, stolz, eingebildet
горячее	горя'чее	first course	Hauptgericht
господа	го'спода	gentlemen, ladies and gentlemen, Messrs, the masters	Siehe: господь
градом	гра'дом	thick and fast	in Strömen, es └ hagelt / hagelte┘ ..., bergeweise
грядёт	грядёт	is coming, is approaching, is drawing near	siehe грясти
гуманно	гума'нно	humanely, with humanity	human, menschlich, humanitär, menschenfreundlich
гуртом	гурто'м	wholesale, in a body, en masse	en gros, in grossen Scharen
гурьбой	гурьбой	in a crowd	in Scharen
дальше	да'льше	farther, further, then, any longer	weiter
двойняшки	двойняшки	twins	Zwillinge
двояко	двоя'ко	in two ways	zweifach, doppelt
девятью	де'вятью	nine times	9 x (in Multiplikationsaufgaben)
дельно	дельно	efficiently, in business-like fashion, sensibly	vernüftig, klug, gescheit; tüchtig, patent, kompetent, sachbezogen
день-деньской	день-деньско'й	the livelong day, all day long	den ganzen Tag lang, den lieben langen Tag; tagaus, tagein
десятисложный	десятисложный	decasyllabic	
де-факто	де-фа'кто	de facto	de facto, praktisch, quasi
де-юре	де-ю'ре	de jure	de jure, von Rechts wegen, eigentlich
диаметрально	диаметра'льно	diametrically	diametral
диафильм	диафильм	film strip	Bildband, Diafilm
дисквалификация	дисквалифика'ция	disqualification	Disqualifizierung
дифтерит	дифтерит	diphtheria	Diphtherie
днём	днём	in the day-time, by day, in the afternoon	tagsüber, bei Tage
докуда	доку'да	how far	wohin, bis wohin; wie lange, wie lange noch; soweit, bis; solange bis
долее	до'лее	longer	länger; noch eine bestimmte Zeit
дополна	дополна'	brimful	randvoll, voll, völlig
досиня	до'синя	until blue, until livid	blitzeblau
досконально	досконально	thoroughly	gründlich
досуха	досуха	dry	vollkommen trocken, zur Trockne (bspw. eingedampft)
досюда	досю'да	up to here, as far as this	bis hier, bis hierher
дотемна	дотемна'	until it gets dark	bis Einbruch der Dunkelheit
дотуда	дотуда	up to there, up to that place	bis hierher, bis dahin, bis dort
дочерна	дочерна'	till is black	bis zum Schwarzwerden
дочиста	до'чиста	till is spotless, completely	rein, sauber, völlig, vollständig
душевная	душе'вная	shower-baths, showers	Siehe: душевный
единовременно	единовре'менно	once only, on one occasion only, in a lump	einmalig
ежеминутно	ежемину'тно	every minute, every instant, continually, incessantly	jeden Augenblick, unaufhörlich, fortwährend, minütlich, jede Minute
еженощно	ежено'щно	nightly	allnächtlich
ежесуточно	ежесуточно	every day	täglich, jeden Tag, alle 24 Stunden
по-женски	по-же'нски	in a feminine way	weiblich, frauenhaft, frauentypisch
забрезжило	забрезжило	it is just beginning to get light	siehe забрезжить
завистливо	зави'стливо	with envy, enviously	neidisch
заглазно	загла'зно	in absence, without seeing	in Abwesenheit des Betroffenen
задёшево	задёшево	very cheaply	für einen Apfel und ein Ei
задом	за'дом	backward	rückwärts, rücklings, verkehrt herum
задыхаясь	задыха'ясь	breathlessly	atemlos, ausser Atem
заездом	зае'здом	passing through, in transit	auf der Durchfahrt / Durchreise, in Form eines Abstechers / Kurzaufenthalts / seltenen Besuchs
заимообразно	заимообра'зно	on credit	darlehensähnlich, geliehen, leihweise
закономерно	закономерно	it is in order, it is as it should be, naturally, appropriately, as the natural result	gesetzmäßig
залпом	за'лпом	in one gulp	mit einem Mal, auf einen Zug, mit einem Hieb
запальчиво	запа'льчиво	passionately, heatedly	heftig, aufbrausend, jähzornig
заподлицо	заподлицо'	flush	in gleicher Höhe, bündig, in einer Ebene
зараз	зара'з	at once, at a sitting, at one fell swoop, at one blow	auf einmal, mir einem Mal, auf einen Schlag
засахаренный	засахаренный	candied, fruits	kandiert
засим	заси'м	hereafter, after this	danach, darauf, alsdann, hieran
звуконепроницаемый	звуконепроницаемый	sound-proof	schalldicht
здраво	здра'во	reasonably, soundly, sensibly	vernünftig, nüchtern
земляне	земля'не	inhabitants of the Earth, dwellers on the planet Earth	Siehe: землянин
зимой	зимо'й	in winter	im Winter
идиосинкратический	идиосинкратический	idiosyncratic	
инженер-электрик	инженер-электрик	electrical engineer	Elektroingenieur
инженер-строитель	инжене'р-строитель	inşaat mühəndisi; Civil engineer	Bauingenieur
интенсификация	интенсифика'ция	intensification	Intensivierung
искони	искони'	from time immemorial	seit alters her, schon immer
исподнизу	исподни'зу	from underneath	von unten her
исполу	и'сполу	half and half	halb und halb, fifty-fifty, zur Hälfte, hälftig; die Hälfte der Ernte als Pacht an den Grundbesitzer
исстари	и'сстари	from olden times	von alters her, seit eh und je
как-либо	ка'к-либо	somehow	irgendwie, wie auch immer
каково	каково'	how	wie, wie schwer, wie unangenehm; da schau mal einer an!
каракуль	каракуль	astrakhan fur	Persianer, Astrachan
келейно	келейно	privately, in camera	heimlich, im Stillen
кое-когда	кое-когда'	now and then	irgendwann
кое-куда	кое-куда'	somewhere	irgendwohin
коллегиально	коллегиа'льно	collectively, jointly	kollegial
кондитерская	конди'терская	sweet-shop	Konditorei
контрабандой	контраба'ндой	instrumental case singular of: контрабанда	Instrumental singular von: контрабанда
кончая	конча'я	ending with ...	endend mit, bis hin zu
краше	краше	more beautiful, finer, better	schöner
крепко-накрепко	крепко-на'крепко	very tightly, very firmly, doubly tight	sehr fest
крест-накрест	крест-на'крест	criss-cross, cross-wise	kreuzweise
кувырком	кувырко'м	topsyturvy	drunter und drüber, holterdiepolter
куда-либо	куда'-либо	somewhere, anywhere	irgendwohin
Кузбасс	Кузбасс	the Kuzbas	das Kusnezkbecken
кукареку	кукареку'	cock-a-doodle-doo	kikeriki
кулисы	кулисы	wings, side-scenes, slips, coulisses	Kulissen
курсы	ку'рсы	courses	Kursus, Kurse, Lehrgang
кустование	кустование	interconnection, interconnecting	---
ладушки	ладу'шки	pat-a-cake	meinetwegen, einverstanden
летом	ле'том	in summer	im Sommer
лётчик-космонавт	лётчик-космонавт	space pilot	Fliegerkosmonaut
литография	литография	lithograph, lithography	Lithographie
лук-порей	лу'к-поре'й	leek	Lauch
любо	лю'бо	it is pleasant	schön, fein, angenehm
любо-дорого	любо-до'рого	it is a real pleasure	wunderschön (anzusehen)
маковые	ма'ковые	papaverous plants, Papaveraceae	siehe : маковый
малоразвитой	малоразвитой	underdeveloped, half-educated	siehe: ма̣лоразвитый
маслоуловитель	маслоуловитель	oil catcher, oil collector	Ölabscheider, Ölnebelabscheider, Ölfalle
